CountryName,WEOaveranking,Povclockrank,Lea.and.Dercon.rank,Lakneraveranking,r.offtrack,r.CLB,avepovrank,overallpovrank
Afghanistan,,25,16,,1,29,17.75,16
Albania,101.666666666667,177,106,,31,29,88.9333333333333,191
Algeria,109.666666666667,103,,,31,29,68.1666666666667,141
Andorra,,,,,31,29,30,38
Angola,12.3333333333333,15,49,5,1,29,18.5555555555556,18
Antigua and Barbuda,,,,,31,29,30,38
Argentina,,100,,,31,29,53.3333333333333,109
Armenia,97,105,89,,31,29,70.2,147
Aruba,,,,,31,29,30,38
Australia,95,130,,,31,29,71.25,151
Austria,103.333333333333,113,,,31,29,69.0833333333333,144
Azerbaijan,148.666666666667,181,115,,31,29,100.933333333333,208
Bahamas,,,,,31,29,30,38
Bahrain,,121,,,31,29,60.3333333333333,120
Bangladesh,133.333333333333,136,67,49.3333333333333,31,29,74.2777777777778,158
Barbados,,69,,,31,29,43,91
Belarus,148.666666666667,163,134,,31,29,101.133333333333,209
Belgium,124,117,,,31,29,75.25,162
Belize,30.3333333333333,43,65,25.6666666666667,31,29,37.3333333333333,82
Benin,29,22,17,12.6666666666667,1,29,18.4444444444444,17
Bermuda,,,,,31,29,30,38
Bhutan,130,182,100,,31,29,94.4,198
Bolivia,56.6666666666667,62,73,,31,29,50.3333333333333,101
"Bonaire, Sint Eustatius and Saba",,,,,31,29,30,38
Bosnia and Herzegovina,137.333333333333,162,127,,31,29,97.2666666666667,201
Botswana,42.6666666666667,48,64,40,31,29,42.4444444444444,90
Brazil,49,61,79,,31,29,49.8,100
Brunei Darussalam,,155,,,31,29,71.6666666666667,152
Bulgaria,88.6666666666667,83,43,,31,29,54.9333333333333,111
Burkina Faso,53.6666666666667,41,29,44.6666666666667,31,29,38.0555555555556,83
Burundi,2,1,3,3,1,29,6.5,1
Cabo Verde,78.3333333333333,99,76,,31,29,62.6666666666667,125
Cambodia,,170,98,,31,29,82,176
Cameroon,37,44,36,35,31,29,35.3333333333333,76
Canada,99.6666666666667,104,,,31,29,65.9166666666667,132
Central African Republic,5.33333333333333,5,8,2,1,29,8.38888888888889,3
Central and Southern Asia,,,,,31,29,30,38
Chad,22.3333333333333,19,39,12.6666666666667,1,29,20.5,21
Chile,112.333333333333,169,111,,31,29,90.4666666666667,195
China,140.666666666667,159,94,,31,29,90.7333333333333,196
"China, Taiwan Province of China",,,,,31,29,30,38
Colombia,59.6666666666667,67,78,,31,29,52.9333333333333,107
Comoros,37.3333333333333,42,11,29,31,29,29.8888888888889,37
"Congo, Republic of",16.3333333333333,3,51,11,1,29,18.5555555555556,18
Cook Islands,,,,,31,29,30,38
Costa Rica,73.6666666666667,127,99,,31,29,71.9333333333333,154
Croatia,92.6666666666667,95,112,,31,29,71.9333333333333,154
Cuba,,97,,,31,29,52.3333333333333,105
Curaçao,,,,,31,29,30,38
Cyprus,142,165,,,31,29,91.75,197
Czech Republic,148.666666666667,142,128,,31,29,95.7333333333333,200
Cote d'Ivoire,53,53,14,40.6666666666667,31,29,36.7777777777778,80
Dem. People's Republic of Korea,,,,,1,29,15,12
"Congo, Democratic Republic of",4,6,15,8.33333333333333,1,29,10.5555555555556,5
Denmark,126.666666666667,133,,,31,29,79.9166666666667,171
Djibouti,54.6666666666667,57,56,,31,29,45.5333333333333,93
Dominica,,,,,31,29,30,38
Dominican Republic,112.666666666667,131,90,,31,29,78.7333333333333,167
Eastern and South-Eastern Asia,,,,,31,29,30,38
Ecuador,54,64,81,,31,29,51.8,103
"Egypt, Arab Republic of",94.3333333333333,111,,,31,29,66.3333333333333,136
El Salvador,72.3333333333333,91,85,,31,29,61.6666666666667,122
Equatorial Guinea,,45,,,1,29,25,26
Eritrea,,9,9,,1,29,12,8
Estonia,112.333333333333,166,109,,31,29,89.4666666666667,193
Eswatini,24.3333333333333,20,,,31,29,26.0833333333333,27
Ethiopia,49.6666666666667,49,31,49.3333333333333,31,29,39.8333333333333,85
Europe and Northern America,,,,,31,29,30,38
Faroe Islands,,,,,31,29,30,38
Fiji,109.333333333333,151,82,,31,29,80.4666666666667,173
Finland,133.666666666667,147,,,31,29,85.1666666666667,183
France,146,138,,,31,29,86,186
Gabon,66.6666666666667,77,77,,31,29,56.1333333333333,112
"Gambia, The",83,65,21,45.6666666666667,1,29,40.7777777777778,86
Georgia,58,86,69,,31,29,54.6,110
Germany,138.666666666667,119,,,31,29,79.4166666666667,170
Ghana,50.6666666666667,54,66,46,31,29,46.1111111111111,94
Greece,81,85,,,31,29,56.5,113
Guatemala,56.3333333333333,58,70,46,31,29,48.3888888888889,99
Guinea,61.3333333333333,50,4,45,31,29,36.7222222222222,79
