CountryCode,DisplayName,region,Level,ProjYear,PovertyLine,variable,value
AFG,Afghanistan,SAS,National,2008,1.9,HeadCount,0.726086104
AFG,Afghanistan,SAS,National,2010,1.9,HeadCount,0.55666548
AFG,Afghanistan,SAS,National,2011,1.9,HeadCount,0.514575218
AFG,Afghanistan,SAS,National,2012,1.9,HeadCount,0.428395148
AFG,Afghanistan,SAS,National,2013,1.9,HeadCount,0.393847087
AFG,Afghanistan,SAS,National,2015,1.9,HeadCount,0.371896608
AFG,Afghanistan,SAS,National,2018,1.9,HeadCount,0.328317483
AFG,Afghanistan,SAS,National,2019,1.9,HeadCount,0.31212928
AFG,Afghanistan,SAS,National,2020,1.9,HeadCount,0.32858915
AFG,Afghanistan,SAS,National,2021,1.9,HeadCount,0.304954402
AGO,Angola,SSA,National,1981,1.9,HeadCount,0.2347692
AGO,Angola,SSA,National,1984,1.9,HeadCount,0.2371827
AGO,Angola,SSA,National,1987,1.9,HeadCount,0.2390939
AGO,Angola,SSA,National,1990,1.9,HeadCount,0.2576473
AGO,Angola,SSA,National,1993,1.9,HeadCount,0.4199441
AGO,Angola,SSA,National,1996,1.9,HeadCount,0.3374877
AGO,Angola,SSA,National,1999,1.9,HeadCount,0.3215566
AGO,Angola,SSA,National,2002,1.9,HeadCount,0.3338941
AGO,Angola,SSA,National,2005,1.9,HeadCount,0.3354317
AGO,Angola,SSA,National,2008,1.9,HeadCount,0.2861625
AGO,Angola,SSA,National,2010,1.9,HeadCount,0.3172535
AGO,Angola,SSA,National,2011,1.9,HeadCount,0.3290969
AGO,Angola,SSA,National,2012,1.9,HeadCount,0.3311724
AGO,Angola,SSA,National,2013,1.9,HeadCount,0.3367167
AGO,Angola,SSA,National,2015,1.9,HeadCount,0.3711673
AGO,Angola,SSA,National,2018,1.9,HeadCount,0.4712
AGO,Angola,SSA,National,2019,1.9,HeadCount,0.4856948
AGO,Angola,SSA,National,2020,1.9,HeadCount,0.5048404
AGO,Angola,SSA,National,2021,1.9,HeadCount,0.5063654
ALB,Albania,ECA,National,1981,1.9,HeadCount,0.007408011
ALB,Albania,ECA,National,1984,1.9,HeadCount,0.00920669
ALB,Albania,ECA,National,1987,1.9,HeadCount,0.008623258
ALB,Albania,ECA,National,1990,1.9,HeadCount,0.01432533
ALB,Albania,ECA,National,1993,1.9,HeadCount,0.05807021
ALB,Albania,ECA,National,1996,1.9,HeadCount,0.01129124
ALB,Albania,ECA,National,1999,1.9,HeadCount,0.01642849
ALB,Albania,ECA,National,2002,1.9,HeadCount,0.0204732
ALB,Albania,ECA,National,2005,1.9,HeadCount,0.01123728
ALB,Albania,ECA,National,2008,1.9,HeadCount,0.003705177
ALB,Albania,ECA,National,2010,1.9,HeadCount,0.00726106
ALB,Albania,ECA,National,2011,1.9,HeadCount,0.008512612
ALB,Albania,ECA,National,2012,1.9,HeadCount,0.01063921
ALB,Albania,ECA,National,2013,1.9,HeadCount,0.01718526
ALB,Albania,ECA,National,2015,1.9,HeadCount,0.01301948
ALB,Albania,ECA,National,2018,1.9,HeadCount,0.01423106
ALB,Albania,ECA,National,2019,1.9,HeadCount,0.01266547
ALB,Albania,ECA,National,2020,1.9,HeadCount,0.01629655
ALB,Albania,ECA,National,2021,1.9,HeadCount,0.01158928
ARE,United Arab Emirates,OHI,National,1981,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,1984,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,1987,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,1990,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,1993,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,1996,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,1999,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2002,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2005,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2008,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2010,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2011,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2012,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2013,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2015,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2018,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2019,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2020,1.9,HeadCount,0
ARE,United Arab Emirates,OHI,National,2021,1.9,HeadCount,0
ARG,Argentina,LAC,National,1981,1.9,HeadCount,0.003512396
ARG,Argentina,LAC,National,1984,1.9,HeadCount,0.001397668
ARG,Argentina,LAC,National,1987,1.9,HeadCount,0
ARG,Argentina,LAC,National,1990,1.9,HeadCount,0.008832317
ARG,Argentina,LAC,National,1993,1.9,HeadCount,0.02420108
ARG,Argentina,LAC,National,1996,1.9,HeadCount,0.04633781
ARG,Argentina,LAC,National,1999,1.9,HeadCount,0.04779091
ARG,Argentina,LAC,National,2002,1.9,HeadCount,0.1398946
ARG,Argentina,LAC,National,2005,1.9,HeadCount,0.03652014
ARG,Argentina,LAC,National,2008,1.9,HeadCount,0.02602773
ARG,Argentina,LAC,National,2010,1.9,HeadCount,0.02233402
ARG,Argentina,LAC,National,2011,1.9,HeadCount,0.008889483
ARG,Argentina,LAC,National,2012,1.9,HeadCount,0.007906832
ARG,Argentina,LAC,National,2013,1.9,HeadCount,0.007477228
ARG,Argentina,LAC,National,2015,1.9,HeadCount,0.006580132
ARG,Argentina,LAC,National,2018,1.9,HeadCount,0.01007636
ARG,Argentina,LAC,National,2019,1.9,HeadCount,0.01064768
ARG,Argentina,LAC,National,2020,1.9,HeadCount,0.01205441
ARG,Argentina,LAC,National,2021,1.9,HeadCount,0.01161571
ARM,Armenia,ECA,National,1981,1.9,HeadCount,0.05131975
ARM,Armenia,ECA,National,1984,1.9,HeadCount,0.04094158
ARM,Armenia,ECA,National,1987,1.9,HeadCount,0.04708037
ARM,Armenia,ECA,National,1990,1.9,HeadCount,0.04915318
ARM,Armenia,ECA,National,1993,1.9,HeadCount,0.27848
ARM,Armenia,ECA,National,1996,1.9,HeadCount,0.1790498
ARM,Armenia,ECA,National,1999,1.9,HeadCount,0.168849
ARM,Armenia,ECA,National,2002,1.9,HeadCount,0.1505949
ARM,Armenia,ECA,National,2005,1.9,HeadCount,0.04452266
ARM,Armenia,ECA,National,2008,1.9,HeadCount,0.01357321
ARM,Armenia,ECA,National,2010,1.9,HeadCount,0.01903291
ARM,Armenia,ECA,National,2011,1.9,HeadCount,0.02213477
ARM,Armenia,ECA,National,2012,1.9,HeadCount,0.01579596
ARM,Armenia,ECA,National,2013,1.9,HeadCount,0.02240529
ARM,Armenia,ECA,National,2015,1.9,HeadCount,0.0186327
ARM,Armenia,ECA,National,2018,1.9,HeadCount,0.02081727
ARM,Armenia,ECA,National,2019,1.9,HeadCount,0.01684132
ARM,Armenia,ECA,National,2020,1.9,HeadCount,0.01836389
ARM,Armenia,ECA,National,2021,1.9,HeadCount,0.01452873
AUS,Australia,OHI,National,1981,1.9,HeadCount,0.01000117
AUS,Australia,OHI,National,1984,1.9,HeadCount,0.01001012
AUS,Australia,OHI,National,1987,1.9,HeadCount,0.008386601
AUS,Australia,OHI,National,1990,1.9,HeadCount,0.007305041
AUS,Australia,OHI,National,1993,1.9,HeadCount,0.008939848
AUS,Australia,OHI,National,1996,1.9,HeadCount,0.009496428
AUS,Australia,OHI,National,1999,1.9,HeadCount,0.006784003
AUS,Australia,OHI,National,2002,1.9,HeadCount,0.008401638
AUS,Australia,OHI,National,2005,1.9,HeadCount,0.00464765
AUS,Australia,OHI,National,2008,1.9,HeadCount,0.003612324
AUS,Australia,OHI,National,2010,1.9,HeadCount,0.003491684
AUS,Australia,OHI,National,2011,1.9,HeadCount,0.003864973
AUS,Australia,OHI,National,2012,1.9,HeadCount,0.004238261
AUS,Australia,OHI,National,2013,1.9,HeadCount,0.00461155
AUS,Australia,OHI,National,2015,1.9,HeadCount,0.004984838
AUS,Australia,OHI,National,2018,1.9,HeadCount,0.004984838
AUS,Australia,OHI,National,2019,1.9,HeadCount,0.004984838
AUS,Australia,OHI,National,2020,1.9,HeadCount,0.004984838
AUS,Australia,OHI,National,2021,1.9,HeadCount,0.004984838
AUT,Austria,OHI,National,1981,1.9,HeadCount,0
AUT,Austria,OHI,National,1984,1.9,HeadCount,0
AUT,Austria,OHI,National,1987,1.9,HeadCount,0
AUT,Austria,OHI,National,1990,1.9,HeadCount,0.001064568
AUT,Austria,OHI,National,1993,1.9,HeadCount,0.002129136
AUT,Austria,OHI,National,1996,1.9,HeadCount,0.006015545
AUT,Austria,OHI,National,1999,1.9,HeadCount,0.00230765
AUT,Austria,OHI,National,2002,1.9,HeadCount,0.002214688
AUT,Austria,OHI,National,2005,1.9,HeadCount,0.001536901
AUT,Austria,OHI,National,2008,1.9,HeadCount,0.00471167
AUT,Austria,OHI,National,2010,1.9,HeadCount,0.004907025
AUT,Austria,OHI,National,2011,1.9,HeadCount,0.004154042
AUT,Austria,OHI,National,2012,1.9,HeadCount,0.006169174
AUT,Austria,OHI,National,2013,1.9,HeadCount,0.003379979
AUT,Austria,OHI,National,2015,1.9,HeadCount,0.00677193
AUT,Austria,OHI,National,2018,1.9,HeadCount,0.003180896
AUT,Austria,OHI,National,2019,1.9,HeadCount,0.003180896
AUT,Austria,OHI,National,2020,1.9,HeadCount,0.003274168
AUT,Austria,OHI,National,2021,1.9,HeadCount,0.003180896
AZE,Azerbaijan,ECA,National,1981,1.9,HeadCount,0.006565203
AZE,Azerbaijan,ECA,National,1984,1.9,HeadCount,0.005287195
AZE,Azerbaijan,ECA,National,1987,1.9,HeadCount,0.005076344
AZE,Azerbaijan,ECA,National,1990,1.9,HeadCount,0.006565203
AZE,Azerbaijan,ECA,National,1993,1.9,HeadCount,0.03243883
AZE,Azerbaijan,ECA,National,1996,1.9,HeadCount,0.06752116
AZE,Azerbaijan,ECA,National,1999,1.9,HeadCount,0.04128207
AZE,Azerbaijan,ECA,National,2002,1.9,HeadCount,0.000428381
AZE,Azerbaijan,ECA,National,2005,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2008,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2010,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2011,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2012,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2013,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2015,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2018,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2019,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2020,1.9,HeadCount,0
AZE,Azerbaijan,ECA,National,2021,1.9,HeadCount,0
BDI,Burundi,SSA,National,1981,1.9,HeadCount,0.8483355
BDI,Burundi,SSA,National,1984,1.9,HeadCount,0.8663459
BDI,Burundi,SSA,National,1987,1.9,HeadCount,0.825054
BDI,Burundi,SSA,National,1990,1.9,HeadCount,0.8174937
BDI,Burundi,SSA,National,1993,1.9,HeadCount,0.8204125
BDI,Burundi,SSA,National,1996,1.9,HeadCount,0.8429054
BDI,Burundi,SSA,National,1999,1.9,HeadCount,0.838771
BDI,Burundi,SSA,National,2002,1.9,HeadCount,0.809001
BDI,Burundi,SSA,National,2005,1.9,HeadCount,0.7970452
BDI,Burundi,SSA,National,2008,1.9,HeadCount,0.7651153
BDI,Burundi,SSA,National,2010,1.9,HeadCount,0.7490648
BDI,Burundi,SSA,National,2011,1.9,HeadCount,0.7447866
BDI,Burundi,SSA,National,2012,1.9,HeadCount,0.7359983
BDI,Burundi,SSA,National,2013,1.9,HeadCount,0.7215832
BDI,Burundi,SSA,National,2015,1.9,HeadCount,0.748696
BDI,Burundi,SSA,National,2018,1.9,HeadCount,0.7818653
BDI,Burundi,SSA,National,2019,1.9,HeadCount,0.7860385
BDI,Burundi,SSA,National,2020,1.9,HeadCount,0.8134154
BDI,Burundi,SSA,National,2021,1.9,HeadCount,0.8113729
BEL,Belgium,OHI,National,1981,1.9,HeadCount,0.002401878
BEL,Belgium,OHI,National,1984,1.9,HeadCount,0.002401878
BEL,Belgium,OHI,National,1987,1.9,HeadCount,0.003986019
BEL,Belgium,OHI,National,1990,1.9,HeadCount,0.007305464
BEL,Belgium,OHI,National,1993,1.9,HeadCount,0.007929926
BEL,Belgium,OHI,National,1996,1.9,HeadCount,0.004524447
BEL,Belgium,OHI,National,1999,1.9,HeadCount,0.003678305
BEL,Belgium,OHI,National,2002,1.9,HeadCount,0.002981149
BEL,Belgium,OHI,National,2005,1.9,HeadCount,0.001930702
BEL,Belgium,OHI,National,2008,1.9,HeadCount,0.001184167
BEL,Belgium,OHI,National,2010,1.9,HeadCount,0.001371153
BEL,Belgium,OHI,National,2011,1.9,HeadCount,0.001682682
BEL,Belgium,OHI,National,2012,1.9,HeadCount,0.001565715
BEL,Belgium,OHI,National,2013,1.9,HeadCount,0.001445081
BEL,Belgium,OHI,National,2015,1.9,HeadCount,0.000707586
BEL,Belgium,OHI,National,2018,1.9,HeadCount,0.001314533
BEL,Belgium,OHI,National,2019,1.9,HeadCount,0.001314533
