CountryCode,ProjYear,p20,p80
ALB,2010,4.65524600644592,10.9477900318206
DZA,2010,4.62381369526655,10.2478079820396
AGO,2010,1.33969509956626,5.02363974742813
ARG,2010,,
ARM,2010,3.53269323624723,7.90963297775253
AUS,2010,27.3828276647204,75.0742956957886
AUT,2010,31.1051446573877,74.410021004064
AZE,2010,9.56121585526206,18.3892821652903
BGD,2010,1.9201138952525,4.48179846810067
BLR,2010,8.9419335550509,20.760178313532
BEL,2010,,
BLZ,2010,,
BEN,2010,1.10709037617684,3.52996766307911
BTN,2010,,10.1783929722328
BOL,2010,3.79736844961402,16.4624133012656
BIH,2010,9.89286363902097,26.9410383996673
BWA,2010,2.14283990642923,11.9117386210231
BRA,2010,4.61999360898134,
BGR,2010,,
BFA,2010,1.11544138389235,
BDI,2010,0.813622531452412,2.10383757303862
CPV,2010,3.09052212742547,11.3494165667441
CMR,2010,1.41569417599892,5.4317042601602
CAN,2010,,75.1422693376938
CAF,2010,0.686986748675339,3.16025781687296
TCD,2010,1.24999484007065,4.57939005190486
CHL,2010,6.52385300920697,
CHN,2010,2.55175170166308,10.0797409165302
COL,2010,,16.0465644171175
COM,2010,,7.84455394350728
COD,2010,0.455319694285688,1.5619028712976
COG,2010,1.17104611234219,
CRI,2010,6.91095048530386,
CIV,2010,,4.93295600029669
HRV,2010,13.5815649336171,29.9779301938805
CYP,2010,,61.8849536962506
CZE,2010,17.4805821899118,34.903469981102
DNK,2010,32.0441661816109,67.3489505324264
DJI,2010,2.04098703842891,7.03752527862838
DOM,2010,4.15348355933343,
ECU,2010,,
EGY,2010,,
SLV,2010,,
EST,2010,,
SWZ,2010,,5.46396783813995
ETH,2010,1.51566700150232,3.50791956052364
FJI,2010,,
FIN,2010,29.7232839922404,64.8896018939961
FRA,2010,27.4662754874473,68.1231325055249
GAB,2010,2.98978733764416,10.5809786030948
GMB,2010,1.6929629512809,5.44358708729759
GEO,2010,2.49330815434661,8.14630028617571
DEU,2010,28.7856235162487,69.2954599911052
GHA,2010,,7.14476210068598
GRC,2010,15.2255618878997,
GTM,2010,2.74479373616581,12.1975910109884
GIN,2010,1.06024552458092,
GNB,2010,99.99940397351,99.99940397351
GUY,2010,3.51007477466269,12.8096067510768
HTI,2010,0.584809527470745,4.02380525144432
HND,2010,2.28936342320868,12.6146954405229
HUN,2010,10.9948814433942,26.0377285562128
ISL,2010,28.1522991384346,56.8723655792085
IND,2010,,3.99402702889252
IDN,2010,2.15147741808203,6.08473387653565
IRN,2010,6.78924582844063,23.1754617906039
IRQ,2010,3.46182154339763,7.9815344221905
IRL,2010,23.0551242626467,59.5114219512581
ISR,2010,10.8649737960954,
ITA,2010,,58.1307050544199
JAM,2010,4.2588015078743,15.2264113603405
JPN,2010,26.3563570880899,63.8882841988542
JOR,2010,5.61455052722964,14.0964802186483
KAZ,2010,5.9638957836242,13.1433969532029
KEN,2010,1.25782991302778,4.28368840993325
KIR,2010,,
KOR,2010,,
XKX,2010,,
KGZ,2010,,
LAO,2010,,
LVA,2010,,23.2209060312468
LBN,2010,,36.1616195598968
LSO,2010,,5.17326618647171
LBR,2010,0.971629889395964,2.63319328912434
LTU,2010,8.27519679769729,23.2683768174615
LUX,2010,38.0137871685745,96.6597323297731
MDG,2010,0.667901290311515,
MWI,2010,,
MYS,2010,6.94963258524688,27.1168443814073
MDV,2010,,12.732680181199
MLI,2010,23.614883593781,23.614883593781
MLT,2010,20.3699636539311,47.4712044801141
MRT,2010,2.47772139522864,7.21887098195461
MUS,2010,5.63415446776115,14.8783047635104
MEX,2010,3.85009763224612,13.3189887211862
FSM,2010,,8.45541606596478
MDA,2010,4.80198302761533,11.9506519064914
MNG,2010,4.12831590812419,10.9863370284543
MNE,2010,8.28538658465038,
MAR,2010,4.06806618941935,11.7070698160244
MOZ,2010,0.735613450691356,
MMR,2010,2.18618078464756,5.58285262787924
NAM,2010,1.81459093841566,8.79181117512867
NPL,2010,,5.10245230948148
